turn_id,cmbc_selected_action,rag_selected_action,strong_heuristic_selected_action,rag_matched,strong_heuristic_matched,supporting_prior_id,feedback_label,admission_status
blind_turn_00,act_2,act_2,act_2,True,True,prior_act_2,good_timing,not_required_positive_or_boundary_feedback
blind_turn_01,act_0,act_0,act_0,True,True,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_02,act_6,act_6,act_6,True,True,prior_act_6,helpful,not_required_positive_or_boundary_feedback
blind_turn_03,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
blind_turn_04,act_2,act_2,act_2,True,True,prior_act_2,good_timing,not_required_positive_or_boundary_feedback
blind_turn_05,act_0,act_0,act_0,True,True,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_06,act_6,act_6,act_6,True,True,prior_act_6,helpful,not_required_positive_or_boundary_feedback
blind_turn_07,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
blind_turn_08,act_2,act_2,act_2,True,True,prior_act_2,bad_timing,pending_counterevidence
blind_turn_09,act_0,act_0,act_1,True,False,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_10,act_6,act_6,act_6,True,True,prior_act_6,helpful,not_required_positive_or_boundary_feedback
blind_turn_11,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
blind_turn_12,act_2,act_2,act_2,True,True,prior_act_2,good_timing,not_required_positive_or_boundary_feedback
blind_turn_13,act_0,act_0,act_0,True,True,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_14,act_6,act_6,act_6,True,True,prior_act_6,too_much,pending_counterevidence
blind_turn_15,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
blind_turn_16,act_2,act_2,act_2,True,True,prior_act_2,good_timing,not_required_positive_or_boundary_feedback
blind_turn_17,act_0,act_0,act_0,True,True,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_18,act_6,act_6,act_6,True,True,prior_act_6,helpful,not_required_positive_or_boundary_feedback
blind_turn_19,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
blind_turn_20,act_2,act_2,act_2,True,True,prior_act_2,good_timing,not_required_positive_or_boundary_feedback
blind_turn_21,act_0,act_0,act_1,True,False,prior_act_0,helpful,not_required_positive_or_boundary_feedback
blind_turn_22,act_6,act_6,act_6,True,True,prior_act_6,helpful,not_required_positive_or_boundary_feedback
blind_turn_23,act_4,act_4,act_4,True,True,prior_act_4,boundary_respected,not_required_positive_or_boundary_feedback
